pitch_type,stuff_bin,release_height_bin,mean_velo,mean_ivb,mean_hb,mean_spin,mean_ivb_diff,mean_velo_diff,mean_release_x,mean_axis,avg_stuff_plus,count
FF,2,1,94.012,10.985,-7.232,2312.913,0.052,0.185,2.176,203.709,93.2,1179
FF,2,2,93.886,12.203,-6.272,2271.761,0.061,0.38,1.913,198.001,93.4,1451
FF,2,3,93.61,12.405,-5.001,2271.542,0.074,0.36,1.833,193.944,93.2,1920
FF,2,4,93.266,13.646,-4.967,2243.695,0.055,0.211,1.623,188.23,93,1931
FF,3,1,94.147,10.982,-7.114,2319.079,0.062,0.259,2.151,205.254,99,1309
FF,3,2,93.927,12.318,-6.268,2274.56,0.059,0.285,1.941,200.533,99,1745
FF,3,3,93.737,12.581,-5.33,2279.631,0.086,0.389,1.842,196.223,98.9,2085
FF,3,4,93.364,13.569,-5.018,2244.648,0.062,0.273,1.632,190.722,99,1605
FF,4,1,94.351,11.318,-7.171,2330.342,0.077,0.367,2.201,206.749,104.1,1335
FF,4,2,94.014,12.617,-6.521,2281.07,0.076,0.308,1.927,201.124,104.1,1712
FF,4,3,93.905,12.698,-5.607,2279.17,0.099,0.453,1.842,196.938,104.1,1978
FF,4,4,93.528,13.782,-5.08,2256.857,0.059,0.329,1.633,191.525,104.1,1713
FF,5,1,94.234,11.285,-7.59,2325.521,0.093,0.531,2.284,200.509,113.4,1211
FF,5,2,94.105,12.977,-6.812,2301.983,0.117,0.631,1.953,195.406,113.4,1451
FF,5,3,93.919,13.028,-6.041,2280.724,0.136,0.662,1.78,192.245,113.3,1528
FF,5,4,93.467,13.967,-5.039,2240.728,0.059,0.376,1.587,186.935,114.2,1691
FS,1,1,86.509,3.281,-9.171,1510.125,-0.543,-7.169,2.063,234.446,68.8,56
FS,1,2,87.325,3.853,-8.406,1466.123,-0.474,-6.83,2.018,225.6,64,65
FS,1,3,86.061,4.214,-7.419,1324.319,-0.653,-7.714,1.621,226.754,71.8,69
FS,1,4,86.736,3.759,-7.857,1168.044,-0.608,-5.981,1.54,237.204,69.8,113
FS,2,1,86.481,3.211,-7.56,1440.238,-0.562,-7.951,2.009,228.952,92.2,21
FS,2,2,86.664,2.913,-7.873,1412.058,-0.648,-7.257,2.075,214.116,93,69
FS,2,3,85.694,5.16,-7.142,1382.135,-0.647,-7.672,1.639,212.942,92.6,52
FS,2,4,86.459,4.295,-6.864,1178.6,-0.568,-6.31,1.601,236.838,92.9,80
FS,3,1,87.219,3.387,-6.662,1416.407,-0.612,-6.983,1.977,224.889,98.8,27
FS,3,2,86.96,2.809,-7.902,1485.723,-0.563,-7.216,2.133,229.617,98.6,47
FS,3,3,85.165,2.802,-7.233,1244.098,-0.766,-8.151,1.522,228.294,98.5,51
FS,3,4,86.594,3.937,-7.896,1165.976,-0.598,-6.098,1.642,238,99,84
FS,4,1,87.164,2.138,-8.1,1608.591,-0.696,-6.463,2.195,232.091,104.3,22
FS,4,2,86.147,2.299,-7.972,1491.412,-0.638,-7.837,2.057,219.471,104.2,51
FS,4,3,85.592,3.654,-7.765,1318.922,-0.769,-7.915,1.754,225.941,104.3,51
