player_name,pitch_type,avg_stuff_plus,pitch_count,total_stuff_plus,total_pitches
"Williams, Devin",CH,169.21187330205106,26,169.21187330205106,26
"Peacock, Matt",SI,161.4260348678938,36,161.4260348678938,36
"Hartlieb, Geoff",FF,153.26949058996018,29,153.26949058996018,29
"Miller, Tyson",FF,152.4241367424332,33,152.4241367424332,33
"Lucchesi, Joey",CU,146.4845595161853,27,146.4845595161853,27
"Reed, Jake",SI,118.84560448134586,29,139.0377611734338,70
"Reed, Jake",SL,153.32001834588627,41,139.0377611734338,70
"Heaney, Andrew",FF,138.80923548467325,57,138.80923548467325,57
"Strickland, Hunter",FF,134.58668418585611,39,134.58668418585611,39
"Hader, Josh",SI,133.1736962754577,54,133.1736962754577,54
"Castro, Kervin",FF,129.61800088304688,49,129.61800088304688,49
"Adams, Austin",SL,128.57051552847665,46,128.57051552847665,46
"Verlander, Justin",FF,128.14555728596997,47,128.14555728596997,47
"Rea, Colin",SI,126.46218159631137,31,126.46218159631137,31
"Bauer, Trevor",FC,111.50136490169116,37,126.11751087455013,78
"Bauer, Trevor",FF,139.30769138664235,41,126.11751087455013,78
"Irvin, Jake",CU,127.24255356374583,44,123.97693155453793,74
"Irvin, Jake",FF,119.1873526076997,30,123.97693155453793,74
"Harrison, Kyle",FF,127.34649427661444,103,123.81096076301922,155
"Harrison, Kyle",SV,116.80788476493639,52,123.81096076301922,155
"Gallen, Zac",CH,95.68401038995574,35,122.86648313427342,485
"Gallen, Zac",FC,114.28461026522643,50,122.86648313427342,485
"Gallen, Zac",FF,121.29444219627776,283,122.86648313427342,485
"Gallen, Zac",KC,138.4679171082584,117,122.86648313427342,485
"Pérez, Martín",FC,100.14910084471765,27,122.27604843847975,56
"Pérez, Martín",SI,142.87699964646515,29,122.27604843847975,56
"Walker, Taijuan",FF,104.96443710831737,49,122.11362642112519,109
"Walker, Taijuan",FS,136.11879769325157,60,122.11362642112519,109
"Strider, Spencer",FF,115.66329772195165,53,121.71892716847647,83
"Strider, Spencer",SL,132.41720585733697,30,121.71892716847647,83
"Birdsong, Hayden",CU,196.85039042546362,33,121.57117322892383,93
"Birdsong, Hayden",FF,86.89069470027455,28,121.57117322892383,93
"Birdsong, Hayden",SL,74.28489920756026,32,121.57117322892383,93
"Bielak, Brandon",FF,120.9402485946528,56,120.9402485946528,56
"Kennedy, Ian",FF,120.43344123065346,65,120.43344123065346,65
"Garrett, Braxton",FC,119.01203796166513,25,119.01203796166514,25
"Minter, A.J.",FC,106.5085071216839,56,118.63041174986456,114
"Minter, A.J.",FF,130.33431966672865,58,118.63041174986456,114
"Ober, Bailey",CH,121.22425216652144,38,117.8886120556501,82
"Ober, Bailey",FF,115.00783195989757,44,117.8886120556501,82
"Schwellenbach, Spencer",FF,117.87609333125944,32,117.87609333125944,32
"Singer, Brady",SI,136.15905037025706,33,117.16714545164116,75
"Singer, Brady",SL,102.24493444415722,42,117.16714545164116,75
"Thompson, Keegan",FC,119.71293035369348,26,116.76545082002022,55
"Thompson, Keegan",FF,114.1228829622442,29,116.76545082002022,55
"Rainey, Tanner",FF,116.61144040806455,26,116.61144040806455,26
"Burnes, Corbin",FC,116.16361791921003,39,116.16361791921004,39
"Canning, Griffin",FF,87.04142395254456,39,116.11540544162311,68
"Canning, Griffin",SL,155.2148977890046,29,116.11540544162311,68
"Wrobleski, Justin",FF,116.0664794120848,32,116.0664794120848,32
"De Los Santos, Enyel",SL,116.02804520387099,26,116.02804520387099,26
"Webb, Logan",CH,111.47434561871906,165,114.87811050259809,612
"Webb, Logan",FF,102.19095740998067,50,114.87811050259809,612
"Webb, Logan",SI,102.02437630736988,202,114.87811050259809,612
"Webb, Logan",ST,134.32648572263403,195,114.87811050259809,612
"Myers, Tobias",FF,115.04171777723745,39,114.73915879825454,78
"Myers, Tobias",SL,114.43659981927163,39,114.73915879825454,78
"Rogers, Josh",FF,108.62462864596345,63,114.5921388769423,117
"Rogers, Josh",ST,121.55423414641763,54,114.5921388769423,117
"Flaherty, Jack",FF,105.99666244628018,28,114.58493837017244,66
"Flaherty, Jack",SL,120.9131416825141,38,114.58493837017244,66
"Mantiply, Joe",CH,114.1221407060486,30,113.95377624941081,97
"Mantiply, Joe",CU,143.0125057594139,27,113.95377624941081,97
"Mantiply, Joe",SI,94.2128604876804,40,113.95377624941081,97
"Sheffield, Jordan",CH,109.37055473632066,40,113.79093687185097,230
"Sheffield, Jordan",FF,109.2061833216849,134,113.79093687185097,230
"Sheffield, Jordan",SL,127.91901296369862,56,113.79093687185097,230
"Smith, Caleb",FF,118.6404713256559,111,113.430770022084,158
"Smith, Caleb",SL,101.12700736896743,47,113.430770022084,158
"Knehr, Reiss",FF,113.09463365299676,43,113.09463365299676,43
"Elder, Bryce",SI,113.09178417821161,31,113.09178417821161,31
"Díaz, Edwin",FF,113.07962856399101,33,113.07962856399101,33
"Williams, Trevor",FF,118.45006517780787,73,113.06669806310272,98
"Williams, Trevor",SI,97.34726608816365,25,113.06669806310272,98
"Helsley, Ryan",FF,83.46328399914441,30,112.70132749222066,64
"Helsley, Ryan",SL,138.49960116258202,34,112.70132749222066,64
"Díaz, Alexis",FF,112.6985715432289,27,112.6985715432289,27
"Roberts, Ethan",FC,112.57974274272365,41,112.57974274272367,41
"Irvin, Cole",FF,112.56815452183965,50,112.56815452183965,50
"Knebel, Corey",FF,112.52951362344162,31,112.52951362344162,31
"Okert, Steven",FF,60.386526788296464,37,112.43651993719918,101
"Okert, Steven",SL,142.52792222640858,64,112.43651993719918,101
"Halvorsen, Seth",FF,112.2620702848085,49,112.2620702848085,49
"Hendricks, Kyle",CH,112.1556315694002,34,112.1556315694002,34
"Criswell, Cooper",SI,105.61624548909731,38,112.15305689120713,69
"Criswell, Cooper",ST,120.16592248089013,31,112.15305689120713,69
"Ottavino, Adam",ST,112.15203322664179,26,112.1520332266418,26
"Holmes, Grant",FF,109.71873259886144,27,112.09433413145442,56
"Holmes, Grant",SL,114.30610107559274,29,112.09433413145442,56
"Grove, Michael",SL,111.91142847401018,46,111.91142847401018,46
"Yarbrough, Ryan",FF,111.89136946916716,30,111.89136946916716,30
"Morton, Charlie",CU,142.52504410969652,98,111.82245545820676,262
"Morton, Charlie",FC,80.48340692500128,35,111.82245545820676,262
"Morton, Charlie",FF,98.49714373731713,98,111.82245545820676,262
"Morton, Charlie",SI,92.27063479573506,31,111.82245545820676,262
"Jarvis, Bryce",FF,97.115909102878,35,111.57760580306797,66
"Jarvis, Bryce",SL,127.9053278839276,31,111.57760580306797,66
"Stroman, Marcus",FC,124.59650539210243,40,111.36326399884777,137
"Stroman, Marcus",FS,42.883485119477726,27,111.36326399884777,137
"Stroman, Marcus",SI,130.21504077045927,70,111.36326399884777,137
"Phillips, Evan",FF,123.64494295610717,31,111.23675901084476,79
"Phillips, Evan",ST,103.22314021286276,48,111.23675901084476,79
"Boxberger, Brad",FF,110.84290893734939,55,110.84290893734939,55
"Bass, Anthony",SL,110.59396659184733,25,110.59396659184733,25
"Cease, Dylan",FF,105.70337487146445,118,110.55435804428782,279
"Cease, Dylan",KC,98.93896813328965,34,110.55435804428782,279
"Cease, Dylan",SL,118.17120270072165,127,110.55435804428782,279
"Pint, Riley",SL,110.37110113027538,39,110.37110113027538,39
"Shaw, Bryan",FC,110.33337393029394,50,110.33337393029394,50
"McGreevy, Michael",FF,110.29271948502432,30,110.29271948502432,30
"Woodruff, Brandon",CH,134.93882511909356,30,110.24256794940099,134
"Woodruff, Brandon",FF,89.67490870664376,57,110.24256794940099,134
"Woodruff, Brandon",SI,119.42275649719646,47,110.24256794940099,134
"Greinke, Zack",FF,108.02458655671991,29,109.90565526728903,61
"Greinke, Zack",SL,111.61037378624229,32,109.90565526728903,61
"Hicks, Jordan",SI,105.73085680094874,83,109.87325173974087,119
"Hicks, Jordan",ST,119.42377340417828,36,109.87325173974087,119
"Graterol, Brusdar",FC,138.39669230810563,29,109.75132255764333,69
"Graterol, Brusdar",SI,88.98342948855817,40,109.75132255764333,69
"Richards, Trevor",CH,122.12031031949437,37,109.68446003967888,74
"Richards, Trevor",FF,97.24860975986337,37,109.68446003967888,74
"Sánchez, Cristopher",CH,111.943214122357,36,109.36159010986532,71
"Sánchez, Cristopher",SI,106.70620541130245,35,109.36159010986532,71
"Avila, Pedro",CH,112.01278933028688,28,109.05777172456129,124
"Avila, Pedro",CU,122.9625618883043,41,109.05777172456129,124
"Avila, Pedro",FF,97.18801009412894,55,109.05777172456129,124
"Bickford, Phil",FF,112.94483374091173,108,109.00701386950477,152
"Bickford, Phil",SL,99.34145600332411,44,109.00701386950477,152
"Treinen, Blake",FC,95.09848941859426,35,108.42171240249633,98
"Treinen, Blake",SI,86.44872932664629,28,108.42171240249633,98
"Treinen, Blake",ST,139.32332184707843,35,108.42171240249633,98
"Ginkel, Kevin",FF,104.73461408983442,92,108.32491052034155,160
"Ginkel, Kevin",SL,113.18237039691002,68,108.32491052034155,160
"Montas, Frankie",FC,109.98225150376679,28,108.26757968903638,165
"Montas, Frankie",FF,103.1538440938754,51,108.26757968903638,165
"Montas, Frankie",FS,102.58444931264495,35,108.26757968903638,165
"Montas, Frankie",SI,118.8166294345604,25,108.26757968903638,165
"Montas, Frankie",SL,113.95884984581949,26,108.26757968903638,165
"Gilbreath, Lucas",FF,112.17249529699886,535,108.09063110879318,769
"Gilbreath, Lucas",SL,98.75816384088702,234,108.09063110879318,769
"Pepiot, Ryan",CH,92.44367805342976,61,108.08005944909111,185
"Pepiot, Ryan",FF,124.31483105011776,89,108.08005944909111,185
"Pepiot, Ryan",SL,94.04933352463311,35,108.08005944909111,185
"Kelly, Joe",FF,105.78129141865843,35,107.52635739839143,77
"Kelly, Joe",KC,108.98057904816892,42,107.52635739839143,77
"Allen, Logan",FF,107.46317695583429,25,107.46317695583429,25
"Vines, Darius",FC,124.60865853717281,29,107.06074712797074,54
"Vines, Darius",FF,86.70516989329636,25,107.06074712797074,54
"Mlodzinski, Carmen",FF,107.00831747941628,25,107.00831747941628,25
"Webb, Jacob",FF,106.76525895009037,29,106.76525895009037,29
"Severino, Luis",FF,106.55799951271467,48,106.55799951271467,48
"Lugo, Seth",CU,127.5058900655123,52,106.52195532900397,199
"Lugo, Seth",FF,92.80696756828257,83,106.52195532900397,199
"Lugo, Seth",SI,115.86392243980673,39,106.52195532900397,199
"Lugo, Seth",SL,93.83566174980935,25,106.52195532900397,199
"Sheehan, Emmet",CH,131.13897308803658,27,106.38023973695546,170
"Sheehan, Emmet",FF,100.63346788180077,100,106.38023973695546,170
"Sheehan, Emmet",SL,104.19864404012475,43,106.38023973695546,170
"Hill, Jaden",SI,106.37281326315087,38,106.37281326315087,38
"Leone, Dominic",FC,105.73950895485585,42,106.26649531511441,125
"Leone, Dominic",FF,98.12989877599595,55,106.26649531511441,125
"Leone, Dominic",SL,123.03957520019927,28,106.26649531511441,125
"Domínguez, Seranthony",FF,105.96067530390116,48,105.96067530390116,48
"Hand, Brad",FF,88.79224956915584,109,105.95903446793673,340
"Hand, Brad",SI,92.33526062457337,62,105.95903446793673,340
"Hand, Brad",ST,122.02917371205297,169,105.95903446793673,340
"Garcia, Luis",FF,105.75019201230691,40,105.75019201230691,40
"López, Pablo",CH,91.39792380974157,34,105.59153204149155,69
"López, Pablo",FF,119.37960860947722,35,105.59153204149155,69
"Houser, Adrian",FF,93.98547960861639,31,105.54739306919154,108
"Houser, Adrian",SI,110.20218939747504,77,105.54739306919154,108
"Gallegos, Giovanny",FF,124.57799931229623,37,105.52831128225479,70
"Gallegos, Giovanny",SL,84.16957015766286,33,105.52831128225479,70
"Gonsolin, Tony",FF,79.2073937481633,58,105.48913623784028,141
"Gonsolin, Tony",FS,134.39854160011208,48,105.48913623784028,141
"Gonsolin, Tony",SL,109.3945535810466,35,105.48913623784028,141
"Cole, Gerrit",FF,102.20170549871466,61,104.99703820269339,88
"Cole, Gerrit",SL,111.31241949686756,27,104.99703820269339,88
"Matsui, Yuki",FF,104.21342211895593,27,104.21342211895593,27
"Rodriguez, Eduardo",FC,96.5046333306918,35,103.9817832433631,65
"Rodriguez, Eduardo",FF,112.70512480814628,30,103.9817832433631,65
"Stripling, Ross",FF,103.97489768669756,29,103.97489768669756,29
"Eflin, Zach",CU,126.98542591703702,59,103.91154497771221,129
"Eflin, Zach",FC,95.22539862465594,26,103.91154497771221,129
"Eflin, Zach",SI,78.10429110860538,44,103.91154497771221,129
"Lyles, Jordan",FF,103.76853894304948,46,103.76853894304949,46
"Bard, Daniel",CH,60.56574345188529,53,103.60164690868034,1657
"Bard, Daniel",FF,96.66627362176457,347,103.60164690868034,1657
"Bard, Daniel",SI,93.53556931057842,516,103.60164690868034,1657
"Bard, Daniel",SL,116.93710366224379,741,103.60164690868034,1657
"Logue, Zach",FF,103.56340821095337,25,103.56340821095337,25
"Alexander, Scott",SI,103.47938465210548,53,103.47938465210548,53
"Brebbia, John",FF,103.66057429181758,76,103.47279928726039,143
"Brebbia, John",SL,103.25980077462832,67,103.47279928726039,143
"Corbin, Patrick",FF,78.70198899997257,35,103.439916561777,176
"Corbin, Patrick",SI,89.34929550027547,62,103.439916561777,176
"Corbin, Patrick",SL,125.45821998552698,79,103.439916561777,176
"Thompson, Mason",SI,103.32426111865476,37,103.06786101543241,62
"Thompson, Mason",SL,102.68838886266334,25,103.06786101543241,62
"Darvish, Yu",FC,92.3884691997086,32,103.04138741424657,329
"Darvish, Yu",FF,105.16923005055861,81,103.04138741424657,329
"Darvish, Yu",SI,78.85186886488732,46,103.04138741424657,329
"Darvish, Yu",SL,110.97813787492385,102,103.04138741424657,329
"Darvish, Yu",ST,109.97826146726693,68,103.04138741424657,329
"Fernández, Julian",FF,103.01348304153242,62,103.01348304153242,62
"Brazobán, Huascar",CH,103.00503750123204,25,103.00503750123204,25
"Buehler, Walker",FC,127.53896132557036,67,102.96103085346495,380
"Buehler, Walker",FF,109.6028699068137,183,102.96103085346495,380
"Buehler, Walker",KC,24.458688257329534,45,102.96103085346495,380
"Buehler, Walker",SI,86.03393786478402,40,102.96103085346495,380
"Buehler, Walker",ST,132.90572525300837,45,102.96103085346495,380
"Hudson, Daniel",FF,114.85692407566839,46,102.83838107516739,72
"Hudson, Daniel",SL,81.57480499735793,26,102.83838107516739,72
"Manning, Matt",FF,100.95929835378763,43,102.79078635828002,78
"Manning, Matt",ST,105.04090019237066,35,102.79078635828002,78
"Castillo, Luis",FF,118.68622363429068,84,102.6380510628281,158
"Castillo, Luis",SI,38.362070295750875,33,102.6380510628281,158
"Castillo, Luis",SL,121.49319421674743,41,102.6380510628281,158
"Sandoval, Patrick",CH,103.29090527560861,25,102.50675765101802,57
"Sandoval, Patrick",SL,101.89414231930662,32,102.50675765101802,57
"McCaughan, Darren",SI,102.10546417819977,29,102.10546417819977,29
"Fried, Max",CU,117.40835008349285,48,101.85155475516179,170
"Fried, Max",FF,97.37373427134753,69,101.85155475516179,170
"Fried, Max",SI,64.78722629195569,28,101.85155475516179,170
"Fried, Max",SL,125.85334013888425,25,101.85155475516179,170
"Stone, Gavin",CH,116.3675628525056,27,101.79675288363975,59
"Stone, Gavin",FF,89.5026319724092,32,101.79675288363975,59
"Price, David",CH,113.15193293118908,25,101.78046665205433,121
"Price, David",FC,102.75670420869923,26,101.78046665205433,121
"Price, David",FF,95.29371714350746,45,101.78046665205433,121
"Price, David",SI,101.06986242939325,25,101.78046665205433,121
"Soto, Gregory",SI,101.60213960537708,30,101.60213960537708,30
"Yamamoto, Yoshinobu",FF,101.4264890605414,31,101.4264890605414,31
"Mears, Nick",CU,93.86746931137955,109,101.41171077272486,595
"Mears, Nick",FF,105.40997757177293,346,101.41171077272486,595
"Mears, Nick",SL,97.40401082141062,140,101.41171077272486,595
"Wicks, Jordan",CH,101.64122054088025,25,101.27610825786509,55
"Wicks, Jordan",SI,100.9718480220191,30,101.27610825786509,55
"Beeks, Jalen",CH,102.04389180310368,75,101.14319661157825,392
"Beeks, Jalen",FC,102.18120992630165,69,101.14319661157825,392
"Beeks, Jalen",FF,100.58200686125438,248,101.14319661157825,392
"Milner, Hoby",FF,100.97261994524544,30,100.97261994524544,30
"Henry, Tommy",CH,72.1514956178299,31,100.9616239998909,249
"Henry, Tommy",CU,129.8865936028123,79,100.9616239998909,249
"Henry, Tommy",FF,88.74980258226228,114,100.9616239998909,249
"Henry, Tommy",SL,100.96918491280148,25,100.9616239998909,249
"Stammen, Craig",FC,82.40790198673993,31,100.81432893531093,83
"Stammen, Craig",SI,111.78739115465132,52,100.81432893531093,83
"Abbott, Andrew",FF,100.81389468448803,52,100.81389468448803,52
